"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/Users/rikka/prjs/rabbit-chatroom/server/Cargo.lock", "TOML", 0, 10, 0, 1, 11
"/Users/rikka/prjs/rabbit-chatroom/server/config.toml", "TOML", 0, 4, 0, 0, 4
"/Users/rikka/prjs/rabbit-chatroom/server/src/common/config.rs", "Rust", 5, 0, 0, 1, 6
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller.rs", "Rust", 0, 0, 7, 0, 7
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller/auth.rs", "Rust", 103, 0, 16, 15, 134
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller/image.rs", "Rust", -18, 0, 0, -6, -24
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller/static.rs", "Rust", 20, 0, 1, 6, 27
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller/user.rs", "Rust", 17, 0, 0, 3, 20
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller/user/handlers.rs", "Rust", -12, 0, 0, 15, 3
"/Users/rikka/prjs/rabbit-chatroom/server/src/controller/utils.rs", "Rust", 40, 0, 10, 5, 55
"/Users/rikka/prjs/rabbit-chatroom/server/src/entity/image.rs", "Rust", 14, 0, 0, 8, 22
"/Users/rikka/prjs/rabbit-chatroom/server/src/entity/user.rs", "Rust", -1, 0, 0, 0, -1
"/Users/rikka/prjs/rabbit-chatroom/server/src/entity/user/avatar.rs", "Rust", -7, 0, 0, -3, -10
"/Users/rikka/prjs/rabbit-chatroom/server/src/entity/user/types.rs", "Rust", 12, 0, 0, 2, 14
"/Users/rikka/prjs/rabbit-chatroom/server/src/service/avatar.rs", "Rust", 29, 0, 0, 5, 34
"/Users/rikka/prjs/rabbit-chatroom/server/src/service/user.rs", "Rust", -2, 0, 0, 2, 0
"/Users/rikka/prjs/rabbit-chatroom/server/src/service/verifycode.rs", "Rust", 10, 0, -1, 1, 10
"Total", "-", 210, 14, 33, 55, 312
